Hip Yaw	Hip Pitch	Hip Roll	Knee Yaw	Knee Pitch	Knee Roll	Ankle Yaw	Ankle Pitch	Ankle Roll	Time Stamp

										68.2094	-165.7507	97.87586	7.975831	0.895626	-2.224484	3.93863	-155.6143	98.50236	-14.68119	
7.7	-7.8	0.9	4.3	-46.0	5.4	-5.9	-6.0	14.2		441.643
7.7	-7.8	0.9	4.3	-46.0	5.4	-5.9	-6.0	14.2		441.6513
8.8	-5.2	1.7	6.7	-40.3	5.9	-3.6	-6.9	12.6		441.6596
8.8	-5.2	1.7	6.7	-40.3	5.9	-3.6	-6.9	12.6		441.6679
7.5	-4.3	1.1	7.6	-34.8	5.8	-4.0	-5.6	14.2		441.6762
7.5	-4.3	1.1	7.6	-34.8	5.8	-4.0	-5.6	14.2		441.6845
6.2	-4.5	0.0	9.1	-29.5	5.8	3.2	-8.0	11.4		441.6928
6.2	-4.5	0.0	9.1	-29.5	5.8	3.2	-8.0	11.4		441.7011
7.2	-3.6	0.1	9.8	-24.9	8.9	2.6	-5.4	14.6		441.7094
7.2	-3.6	0.1	9.8	-24.9	8.9	2.6	-5.4	14.6		441.7177
7.2	-2.3	-1.6	10.0	-20.2	10.6	7.4	-5.9	14.4		441.726
7.2	-2.3	-1.6	10.0	-20.2	10.6	7.4	-5.9	14.4		441.7343
7.2	-2.3	-1.6	10.0	-20.2	10.6	7.4	-5.9	14.4		441.7426
7.1	-0.6	-2.2	10.7	-16.0	11.5	9.1	-6.5	13.9		441.7509
7.1	-0.6	-2.2	10.7	-16.0	11.5	9.1	-6.5	13.9		441.7592
8.1	1.2	-2.1	10.1	-13.3	11.7	10.6	-8.2	10.3		441.7675
8.1	1.2	-2.1	10.1	-13.3	11.7	10.6	-8.2	10.3		441.7758
7.9	2.6	-2.6	10.9	-9.9	11.9	12.7	-9.5	7.6		441.7841
7.9	2.6	-2.6	10.9	-9.9	11.9	12.7	-9.5	7.6		441.7924
9.0	3.3	-2.6	11.1	-7.0	12.4	12.2	-9.5	7.5		441.8007
9.0	3.3	-2.6	11.1	-7.0	12.4	12.2	-9.5	7.5		441.809
8.0	3.9	-3.1	10.6	-4.0	12.2	10.9	-7.3	11.4		441.8173
8.0	3.9	-3.1	10.6	-4.0	12.2	10.9	-7.3	11.4		441.8256
7.3	4.1	-4.4	11.0	-2.9	12.0	12.8	-7.2	11.2		441.8339
7.3	4.1	-4.4	11.0	-2.9	12.0	12.8	-7.2	11.2		441.8422
6.9	4.3	-5.0	10.3	-1.4	11.8	11.1	-5.7	13.0		441.8505
6.9	4.3	-5.0	10.3	-1.4	11.8	11.1	-5.7	13.0		441.8588
8.1	4.6	-5.5	10.5	0.2	11.4	10.9	-6.6	8.7		441.8671
8.5	4.9	-6.4	10.4	0.8	12.0	11.2	-6.9	8.2		441.8754
8.5	4.9	-6.4	10.4	0.8	12.0	11.2	-6.9	8.2		441.8837
10.6	5.7	-6.3	10.2	2.4	12.1	8.1	-4.5	13.4		441.892
10.6	5.7	-6.3	10.2	2.4	12.1	8.1	-4.5	13.4		441.9003
12.6	6.6	-6.8	10.4	4.2	12.9	6.7	-4.6	13.4		441.9086
12.6	6.6	-6.8	10.4	4.2	12.9	6.7	-4.6	13.4		441.9169
15.3	7.3	-6.5	10.3	5.6	13.5	5.0	-5.6	11.1		441.9252
15.3	7.3	-6.5	10.3	5.6	13.5	5.0	-5.6	11.1		441.9335
17.5	7.9	-6.4	9.9	6.7	14.4	3.4	-5.7	10.3		441.9418
17.5	7.9	-6.4	9.9	6.7	14.4	3.4	-5.7	10.3		441.9501
18.4	8.4	-6.6	9.7	7.6	13.4	1.7	-5.7	9.3		441.9584
18.4	8.4	-6.6	9.7	7.6	13.4	1.7	-5.7	9.3		441.9667
15.9	8.7	-6.9	10.2	8.4	12.1	2.8	-5.7	8.5		441.975
15.9	8.7	-6.9	10.2	8.4	12.1	2.8	-5.7	8.5		441.9833
15.7	8.8	-6.9	9.7	9.1	11.6	1.1	-4.2	8.6		441.9916
15.7	8.8	-6.9	9.7	9.1	11.6	1.1	-4.2	8.6		441.9999
13.0	8.9	-7.1	10.0	9.8	9.7	2.9	-4.4	6.1		442.0082
12.4	8.7	-7.0	9.7	10.2	10.0	4.0	-4.2	4.7		442.0165
12.4	8.7	-7.0	9.7	10.2	10.0	4.0	-4.2	4.7		442.0248
13.9	8.5	-5.9	9.7	11.2	10.3	1.6	-1.9	5.4		442.0331
13.9	8.5	-5.9	9.7	11.2	10.3	1.6	-1.9	5.4		442.0414
11.6	8.6	-6.6	10.1	12.5	9.8	3.3	-1.2	5.0		442.0497
11.6	8.6	-6.6	10.1	12.5	9.8	3.3	-1.2	5.0		442.058
11.8	8.6	-5.9	9.5	13.0	9.8	3.3	-0.1	4.1		442.0663
11.8	8.6	-5.9	9.5	13.0	9.8	3.3	-0.1	4.1		442.0746
10.6	8.6	-6.3	9.5	13.3	8.9	4.0	0.6	3.8		442.0829
10.6	8.6	-6.3	9.5	13.3	8.9	4.0	0.6	3.8		442.0912
12.7	8.8	-5.9	9.6	14.8	9.1	2.4	0.8	1.2		442.0995
12.7	8.8	-5.9	9.6	14.8	9.1	2.4	0.8	1.2		442.1078
12.3	8.9	-6.2	9.4	15.6	8.9	3.0	0.9	-0.9		442.1161
12.3	8.9	-6.2	9.4	15.6	8.9	3.0	0.9	-0.9		442.1244
11.9	8.7	-6.2	9.1	16.2	9.2	3.6	1.3	-3.4		442.1327
11.9	8.7	-6.2	9.1	16.2	9.2	3.6	1.3	-3.4		442.141
12.7	8.6	-6.2	9.6	17.4	8.6	1.2	4.6	0.0		442.1493
12.7	8.6	-6.2	9.6	17.4	8.6	1.2	4.6	0.0		442.1576
12.7	8.6	-6.2	9.6	17.4	8.6	1.2	4.6	0.0		442.1659
14.1	7.8	-6.7	9.1	18.9	7.3	-0.4	6.7	-0.8		442.1742
14.1	7.8	-6.7	9.1	18.9	7.3	-0.4	6.7	-0.8		442.1825
15.4	7.2	-5.7	9.3	19.8	7.2	-1.4	5.3	-7.1		442.1908
15.4	7.2	-5.7	9.3	19.8	7.2	-1.4	5.3	-7.1		442.1991
14.4	6.5	-4.9	9.3	21.1	6.0	-1.2	8.8	-5.1		442.2074
14.4	6.5	-4.9	9.3	21.1	6.0	-1.2	8.8	-5.1		442.2157
15.9	5.7	-4.3	9.0	21.8	5.7	-3.5	10.2	-6.6		442.224
